ACAO,CORPO,MENTE,VIDA,LIBERDADE,PROPOSITO
Tirar foto da placa do carro em estacionamento de shopping para não esquecer onde parou,6,8,7,6,7
Passar 30 minutos apertando o alarme do carro para achar a vaga no shopping lotado,3,3,3,4,3
Ir à missa/culto e dormir durante o sermão roncando,3,3,3,4,3
Anotar as lições interessantes do sermão para refletir depois,6,9,8,6,8
Trocar a senha do Wi-Fi e não avisar o filho adolescente que estava jogando online (Punição severa e passivo-agressiva),3,2,2,4,2
Combinar os horários de jogo online para ninguém se prejudicar com a rede lenta,6,8,8,6,8
Acabar a bateria do fone de ouvido no meio do ônibus e ir escutando a conversa alheia (Fofoca por osmose),5,5,5,5,5
Ler um livro no ônibus enquanto o fone está sem bateria,6,8,7,6,7
Fazer malabarismo com limões na cozinha, deixar cair um no chão e chutar para debaixo da geladeira,4,4,4,5,4
Pegar o limão sujo, lavar e usar de forma higiênica,6,7,6,6,6
Enfeitar a casa inteira de pisca-pisca de Natal em outubro e irritar os vizinhos com a luz piscando,4,4,4,5,4
Comer miojo cru como se fosse biscoito,3,3,4,4,3
Aprender a fazer macarrão caseiro do zero com ovos e farinha,7,9,8,6,8
Comprar um coelho achando que é fácil de cuidar e devolver na loja uma semana depois (Irresponsabilidade),1,1,1,3,1
Pesquisar as necessidades do animal antes de adotá-lo com consciência,7,9,9,6,9
Tentar consertar os óculos quebrados com fita durex (Nerd clássico),5,6,5,5,5
Esconder a bagunça do quarto dentro do guarda-roupa na hora que a visita chega,4,4,4,5,4
Acender uma vela aromática e curtir o ambiente da sala limpa,7,9,7,6,8
Recusar-se a usar o mapa (GPS) por puro orgulho e ficar rodando perdido por 2 horas,2,2,3,4,2
Dizer que odeia política mas brigar com o tio no almoço de domingo defendendo um candidato,2,1,1,4,1
Bater a cabeça na quina do armário aberto da cozinha,3,3,4,5,3
Fechar as portas dos armários logo após usar para evitar acidentes,6,7,6,6,6
Comer sopa no verão suando em bicas,5,5,5,6,5
Comprar 3 potes de sorvete para comer assistindo filme triste no inverno,3,4,4,5,3
Misturar Fanta com Coca-Cola no fast food,4,4,4,5,4
Exigir que o lanche fast food seja trocado porque veio com "picles a mais",2,1,1,4,1
Tirar o picles com a mão e comer o lanche sem arrumar confusão,6,7,6,6,6
Derrubar moedas no chão do ônibus e ficar com vergonha de pegar,4,4,4,5,4
Puxar papo no elevador falando sobre a demora da chuva ("Parece que vai chover, né?"),5,6,6,5,6
Cortar cebola usando óculos de natação para não chorar na cozinha,6,7,6,6,6
Queimar o dedo na panela e colocar na orelha achando que alivia a dor (Crendice),4,4,4,5,4
Colocar o dedo queimado sob água corrente imediatamente,6,8,6,6,6
Usar calça jeans molhada porque não secou a tempo no varal,3,3,4,5,3
Passar a calça jeans com o ferro no máximo antes de vestir,6,7,6,6,6
Morder a tampinha da caneta até ela rachar,4,3,4,4,4
Usar a caneta do banco com a cordinha pendurada achando o máximo,5,6,5,5,5
Roubar a caneta do banco (Pequeno furto aceito pela sociedade),4,4,4,5,4
Ficar horas vendo o preço das casas em outro país sem ter dinheiro para comprar (Sonho irreal),5,5,5,5,5
Fazer um planejamento financeiro de 10 anos para poder morar fora legalmente,7,10,9,8,9
Mandar mensagem de áudio e depois ficar ouvindo a própria voz,5,5,5,6,5
Criticar quem assiste novela, mas saber o nome de todos os personagens,3,3,3,4,3
Assumir sem vergonha que adora uma boa novela mexicana cheia de drama,6,8,7,7,7
Passar manteiga no pão e depois passar a mesma faca na geleia (Contaminação cruzada de potes),3,3,3,4,3
Digitar "kkkk" chorando de tristeza no quarto escuro (Máscara social digital),3,2,3,5,3
Cair de maduro no meio da rua, levantar rápido e ver se alguém filmou (Pânico moderno),4,4,4,5,4
Rir de si mesmo quando cai na rua e aceitar ajuda para levantar,6,9,8,6,8
Usar camiseta do avesso o dia todo sem perceber,5,6,5,6,5
Desligar o alarme, fechar o olho por "só mais um minuto" e acordar 2 horas depois atrasado,3,3,3,4,3
Ligar para a própria mãe para pedir a receita do feijão perfeito pela décima vez,6,9,8,6,8
Engolir caroço de azeitona sem querer e achar que vai precisar operar o apêndice,3,3,4,5,3
Tirar foto do pé na areia da praia para postar com a legenda "gratidão",5,6,5,6,5
Esquecer onde parou o carro e apertar o botão da chave no estacionamento inteiro igual bobo,4,4,4,5,4
Fazer conta nos dedos debaixo da mesa durante uma reunião para ninguém ver que é ruim de matemática,5,5,5,5,5
Ler um poema em voz alta na sala vazia,6,9,8,7,8
Andar pisando só nas cerâmicas brancas do chão da rua para não "perder o jogo",5,6,5,6,5
Assistir ao nascer do sol da varanda do apartamento em silêncio absoluto,7,10,9,8,9
Ir ao cinema no meio da tarde durante a semana e pegar a sala vazia (Sensação VIP),6,9,8,8,8
Passar perfume antes de dormir apenas para sentir o cheiro bom (Autocuidado simples),7,8,7,7,7
Comprar um ingresso de show caro, desistir na hora e vender pela metade do preço na porta,4,3,4,4,3
Dar um presente caro para a pessoa que você acabou de começar a namorar (Intensidade assustadora),3,2,3,4,2
Construir um relacionamento tijolo por tijolo sem pressa,7,10,9,8,9
Mentir que sabe falar espanhol e concordar sorrindo com um turista gringo (Gafe internacional),4,4,4,5,4
Explicar que não fala o idioma, mas tentar ajudar usando gestos e mapas,6,8,8,6,8
Tirar a etiqueta da roupa nova com o dente e quase rasgar a blusa,4,4,4,5,4
Usar uma tesoura para tirar as etiquetas como alguém civilizado,6,7,6,6,6
Encontrar 50 reais no bolso da calça que não usava há meses e comemorar como se fosse mil,5,8,7,6,6
Guardar os 50 reais achados numa poupança para a aposentadoria (Exagero contábil),6,8,7,7,7
Fazer pipoca com manteiga derretida e comer assistindo um documentário obscuro sobre a Rússia,6,9,7,7,8
Limpar o cache do celular para ver se sobra espaço para mais fotos do cachorro,5,6,6,6,5
Mandar meme pro ex-chefe no WhatsApp por engano e bloquear de desespero,3,2,3,4,2
Assumir o erro do meme e dar risada da situação com o ex-chefe,6,8,8,6,8
Acordar 3 minutos antes do despertador tocar e sentir que venceu o sistema,7,8,7,6,7
Escrever cartas de agradecimento para os professores do ensino médio 10 anos depois,7,10,9,6,9
Passar 2 horas procurando o controle da TV e no fim descobrir que estava sentado em cima dele,4,3,4,5,4
Assistir "Chaves" pela milésima vez sabendo de cor a fala de todo mundo,6,8,7,6,7
Tentar plantar semente de maçã num pote de margarina e ficar vigiando todo dia,5,7,6,6,6
Andar de meias pela casa inteira e depois deitar na cama com o pé sujo (Clássico adolescente),3,3,3,5,3
Lavar o pé antes de deitar na cama limpa (Higiene madura),7,7,6,6,7
Fingir que concorda com o chefe apenas balançando a cabeça repetidamente sem ouvir nada,4,3,4,4,3
Anotar as ordens do chefe num caderninho para garantir que entendeu,6,8,7,6,8
Doar a roupa que usou no primeiro encontro porque ela te traz más lembranças,6,9,8,7,8
Guardar ressentimento por 20 anos e ficar amargurado toda vez que chove,1,1,1,2,1
Praticar o desapego emocional e limpar o coração das dores velhas,8,10,9,8,10
Entrar num ônibus errado e aproveitar a viagem para conhecer um bairro novo,6,9,8,7,8
Dar escândalo no ônibus errado exigindo que o motorista mude a rota para te ajudar,2,1,1,4,1
Ouvir rádio na frequência AM à noite tentando captar estações de outros estados,6,8,7,6,7
Colocar fone de ouvido só em uma orelha para escutar se estão falando de você,4,4,4,5,4
Usar perfume de ambiente como repelente de mosquitos (Gambiarra sem sucesso),3,3,3,4,3
Passar filtro solar todos os dias mesmo quando o tempo está nublado,8,8,6,6,8
Usar sabonete em barra até ele virar uma lasca invisível colada no sabonete novo,5,6,6,6,5
Trocar a resistência do chuveiro descalço no molhado (Risco grave de choque),1,1,2,4,1
Desligar a chave geral (disjuntor) e calçar um chinelo de borracha para trocar a resistência com segurança,8,8,7,6,8
Comer comida tailandesa apimentada e tomar litros de água gelada que não adiantam nada,5,6,6,6,6
Aprender a apagar o fogo da pimenta usando leite ou iogurte,6,8,7,6,7
Abrir a porta da geladeira a cada 10 minutos para ver se algo gostoso se materializou ali dentro,4,4,4,5,4
Organizar a geladeira usando potes transparentes empilháveis (Satisfação visual e prática),7,8,7,6,7
Esconder doces no fundo da gaveta de calcinhas para não dividir com as crianças,4,4,4,5,4
Ir dormir abraçado com o notebook porque adormeceu vendo série na cama,4,3,4,5,4
Colocar o notebook na mesa e deitar para dormir no escuro profundo (Higiene do sono),7,9,8,7,8
Aprender 3 palavras de mandarim no Duolingo e se achar bilíngue,5,6,6,5,5
Manter uma ofensiva (streak) de 365 dias estudando um idioma todo dia,7,10,9,7,9
Chamar a planta de casa pelo nome e dar "bom dia" a ela todas as manhãs,6,8,7,6,7
Cantar músicas dos Beatles errado no karaokê com os amigos e dar muita risada,6,9,8,6,8
Fugir do karaokê por ter medo do julgamento dos outros (Timidez paralisante),3,3,4,5,3
Desfiar a bainha da calça jeans com a unha por pura ansiedade na sala de espera do dentista,4,3,4,4,4
Usar um "fidget toy" ou uma bolinha de borracha para aliviar a ansiedade sem destruir roupas,6,8,7,6,7
Comprar pão francês e comer no caminho esvaziando o miolo (Prazer da caminhada de domingo),7,8,7,6,7
Dormir com a porta do guarda-roupa aberta e ficar com medo das roupas parecendo monstros no escuro,4,3,4,5,4
Assistir filme de terror de madrugada e ir ao banheiro acendendo todas as luzes da casa,4,4,4,5,4
Usar a mesma toalha de rosto para enxugar as mãos, o rosto e limpar a pia suja (Mistura anti-higiênica),2,2,3,4,2
Ter toalhas separadas para as mãos e para o rosto e lavá-las semanalmente,7,7,6,6,7
Tirar os chinelos na porta de casa e andar só de meia (Hábito japonês higiênico adotado no Brasil),7,8,7,6,7
Acumular sacolas de mercado dentro da gaveta da cozinha até que ela não feche mais,4,4,4,5,4
Dobrar as sacolinhas de plástico em triângulos perfeitos (Método KonMari),6,8,7,6,7
Apertar a pasta de dente no meio do tubo só para irritar o cônjuge que aperta do fim para o começo,3,2,2,4,2
Ceder a mania do outro e apertar a pasta do fundo, mantendo a paz conjugal nas pequenas coisas,6,9,8,6,8
Ler a bula do remédio inteira e começar a sentir todos os efeitos colaterais por psicossomatização,3,2,3,4,2
Fazer um seguro de vida pensando no bem-estar da família em caso de falta,6,9,9,7,9
Colocar o prato sujo em cima da pia em vez de dentro da pia, criando montanhas de louça,3,3,3,5,3
Lavar o próprio prato assim que termina de comer e ensinar as crianças a fazerem o mesmo,7,9,9,6,9
Tentar consertar a televisão dando batidinhas nela (Tecnologia analógica em mundo digital),4,4,4,5,4
Pedir perdão a um amigo após 10 anos sem contato e retomar a amizade pura,8,10,10,8,10
Mandar "bom dia" para o ex no aniversário dele com emojis passivo-agressivos,3,2,2,4,2
Entender que ciclos acabam e desejar felicidades em silêncio de longe,7,10,9,8,9
Ir jantar num restaurante chique de terno, mas levar ketchup no bolso para colocar na lagosta (Peculiaridade oculta),4,5,4,5,4
Limpar as orelhas com a tampa da caneta BIC azul (Perigoso e nojento),2,2,3,4,2
Comprar um cotonete biodegradável de papel para limpar a parte externa da orelha,6,7,7,6,7
Usar meia preta soquete com chinelo de dedo branco para ir na padaria no domingo (O famoso estilo Zé Bonitinho),5,6,5,6,5
Gastar R$ 300 numa meia técnica de compressão para correr 5km (Materialismo esportivo),5,5,5,6,5
Limpar os vidros de casa com jornal velho e vinagre porque é a receita da avó que funciona,6,8,7,6,7
Gritar e aplaudir junto com a torcida do time adversário porque achou o gol muito bonito (Espírito esportivo verdadeiro),6,9,8,6,8
Buzinar para a capivara sair da rua (E ela ignorar solenemente),4,4,4,5,4
Esperar pacientemente a capivara e sua família atravessarem a rua, fotografar e seguir viagem feliz,7,9,9,6,8
Usar sabonete no cabelo para economizar (Deixa o cabelo duro que nem palha),3,3,3,4,3
Cantar "Evidências" de Chitãozinho e Xororó no karaokê abraçado com desconhecidos,8,9,9,6,8
Pular poças d'água na chuva de propósito voltando do trabalho,6,9,8,8,8
Fugir da chuva com medo de derreter e chegar no trabalho mal humorado,4,4,4,5,4
Usar um guarda-chuva de sapinho de criança porque perdeu o seu (Falta de estilo e muita autoestima),6,8,8,6,7
Tirar os chinelos para pisar no chão frio no verão escaldante,7,8,6,6,7
Limpar o piso de casa de joelhos com um pano velho e cera caseira como faziam antigamente,6,7,6,6,6
Contratar uma empresa terceirizada para limpar a casa e passar o sábado lendo um livro,7,9,8,7,8
Sentir pena de jogar fora a caixa do celular novo e guardar por 5 anos "vai que precisa",4,5,4,5,4
Jogar a caixa fora ou reciclar imediatamente após conferir a garantia,6,8,7,6,7
Acumular 50 abas abertas no navegador jurando que vai ler todos os artigos depois,4,3,4,4,4
Fechar todas as abas do navegador no fim do expediente e começar a mente limpa no dia seguinte,7,9,8,7,8
Dar bom dia para o segurança do banco e perguntar o nome dele,6,9,9,6,8
Ignorar o segurança achando que ele é um móvel do estabelecimento,2,1,1,4,1
Tentar cantar a música tema do Titanic no karaokê e falhar na nota alta rindo muito,6,9,8,7,8
Ficar bravo com quem erra a nota alta no karaokê,3,2,2,4,2
Levar bolo caseiro de chocolate no primeiro dia no emprego novo para quebrar o gelo,7,9,9,6,9
Entrar mudo e sair calado no emprego novo e almoçar no carro por vergonha,4,3,4,4,4
Pedir comida no iFood todos os dias e desenvolver úlcera pelo excesso de condimentos,2,2,3,4,2
Descobrir o prazer de ir à feira aos sábados para escolher os próprios legumes frescos,8,9,8,7,9
Cozinhar com tanto sal que a comida "brilha" (Hipertensão à vista),2,2,3,4,2
Testar usar ervas finas, páprica e cúrcuma em vez de abusar do sal,8,8,7,7,8
Tomar água com gás achando que não engorda mas sentindo a barriga estufar muito,5,5,5,5,5
Descobrir a diferença entre fome real e vontade de comer mastigando uma maçã lentamente,8,9,8,8,9
Mastigar chiclete de boca aberta no cinema fazendo bolhas barulhentas,2,1,1,4,1
Jogar o chiclete mastigado na lixeira embrulhado no papel antes de entrar no cinema,6,8,8,6,8
Mandar uma carta para um autor famoso e pular de alegria quando ele responder,7,10,9,7,9
Achar que fofocar da vida do vizinho é o único entretenimento que a vida oferece,2,2,2,4,2
Aprender um ofício manual (marcenaria, cerâmica) para ocupar a mente com algo construtivo,7,10,8,7,9
Julgar quem faz crochê como "coisa de velho",2,2,2,4,2
Descobrir que crochê alivia a ansiedade e fazer mantas para bebês prematuros (Hobby filantrópico),8,10,10,7,10
Ler notícias de tragédia logo que acorda e estragar o dia antes das 8h da manhã,3,2,3,4,3
Ouvir música clássica ou um podcast inspirador no caminho para o trabalho para afiar a mente,8,10,8,7,9
Odiar tomar sol e viver como um vampiro desenvolvendo deficiência de vitamina D,2,3,3,4,2
Tomar 15 minutos de sol da manhã na varanda enquanto bebe água para despertar o corpo,8,9,8,6,8
Zombar do amigo que foi traído dizendo que "foi corno",2,1,1,4,1
Acolher o amigo que foi traído levando uma cerveja/chá e escutando ele chorar,7,10,10,6,10
Pedir o parceiro em casamento num telão de estádio lotado de futebol,6,8,8,5,8
Perguntar antes, discretamente, se a pessoa gostaria de um pedido de casamento público para evitar vexame,7,10,9,7,9
Negar um pedido de casamento em público e sair correndo (Trauma para os dois lados),3,2,2,5,3
Concordar só para não dar vergonha e terminar depois no privado (Medo da pressão social),4,3,4,5,4
Dizer "Eu não mereço você" como desculpa esfarrapada para terminar o namoro porque não quer assumir a culpa,2,1,2,4,2
Terminar dizendo a verdade com clareza: "Eu não quero mais este relacionamento, sinto muito",6,9,8,8,9
Ir a um asilo de idosos no domingo e se oferecer para jogar xadrez ou damas com os velhinhos,7,10,10,6,10
Criticar a geração "Nutella" o tempo todo sem tentar entendê-los,3,2,2,4,2
Sentar com um adolescente e pedir para ele ensinar como funciona as novas tecnologias com mente aberta,7,9,9,6,9
Chamar a IA (ChatGPT/Antigravity) de burra e ofendê-la como se fosse gente,3,3,3,4,3
Agradecer à IA depois de uma boa resposta (Educação transcende a máquina),5,6,6,6,5
Limpar as lentes do óculos e se assustar com a sujeira que estava vivendo no mundo em HD,5,6,5,6,5
Esquecer de tirar as lentes de contato e dormir com elas até grudar no olho (Perigoso),2,2,3,4,2
Criar o hábito de tirar as lentes e higienizá-las religiosamente todas as noites,7,8,6,6,7
Tirar cutícula tão fundo no salão que sangra e depois passar álcool em gel (Tortura voluntária),3,3,3,4,3
Aprender a hidratar as cutículas em vez de tirá-las de forma agressiva preservando a saúde da unha,7,8,6,6,7
Passar horas reclamando no Twitter sobre política e não votar no dia da eleição,2,1,1,4,1
Acordar cedo no domingo de eleição, pesquisar os candidatos e votar consciente,7,9,9,7,9
Acompanhar um candidato político como se fosse fã de clube de futebol,2,1,2,3,1
Tratar políticos como funcionários que devem ser cobrados e fiscalizados,7,9,9,7,9
Vender produtos falsificados jurando para os amigos que são originais (Enganação e quebra de confiança),1,1,1,3,1
Assumir que vende réplicas de primeira linha para quem não pode pagar o original (Transparência nos negócios),5,7,7,6,7
Recusar-se a experimentar um vinho doce dizendo que é "suco de uva estragado",4,3,4,5,4
Fingir ser um crítico de vinho e girar a taça antes de tomar um vinho de garrafão (Caricato),5,6,6,6,5
Comer batata frita de fast food achando que está num filme americano e se sujar de ketchup,5,6,5,6,5
Lavar o cabelo no tanque de lavar roupa porque o chuveiro queimou de madrugada,6,7,6,6,7
Esquentar água no fogão em panelas gigantes para tomar banho de canequinha (Humildade e resiliência clássica),7,8,8,6,8
Bater no liquidificador tomate vencido com azeitona e chamar de "molho rústico gourmet",5,6,5,6,5
Jogar banco imobiliário e cobrar os "aluguéis" dos amigos em dinheiro real (Agiota dos jogos de tabuleiro),4,4,4,5,4
Zerar o jogo do dinossauro do Google Chrome sem internet no escritório e se sentir um Deus da agilidade,6,8,7,6,7
Assistir a vídeos de restauração de carros antigos enferrujados e achar que pode fazer o mesmo com o carro do avô,5,7,6,6,6
Tentar pintar o próprio carro com tinta spray em lata (Desastre automotivo),3,3,4,4,3
Apoiar o joelho quebrado do colega com um banco e arrumar gelo numa sacola improvisada de mercado,6,8,9,6,8
Andar de metrô, o trem frear bruscamente e você cair no colo do desconhecido morrendo de rir e pedir desculpas,5,7,7,5,7
Empurrar alguém no metrô na correria para pegar lugar vazio ignorando a educação básica,1,1,1,4,1
Cedê lugar no ônibus para a senhora idosa mas com cara fechada, bufando de raiva (Boa ação feita da pior forma),4,3,4,5,4
Fazer a boa ação de ceder o lugar com o coração leve sabendo que isso é civilidade,7,9,9,6,9
Comprar um violão, não aprender a tocar e deixá-lo no canto do quarto pegando poeira por 10 anos,4,4,4,5,4
Vender o violão empoeirado para alguém que quer muito aprender,6,8,8,6,8
Limpar o pó debaixo do fogão encontrando um cemitério de tampinhas, feijões e baratas secas,5,6,5,6,5
Limpar o piso regularmente para evitar o acúmulo e atrair insetos,7,8,7,6,7
Desligar a chamada da mãe rapidamente dizendo que está ocupado e ficar o dia todo rolando redes sociais (Procrastinação egoísta),3,2,2,4,2
Dizer que está ocupado mas retornar a ligação com calma e tempo mais tarde no mesmo dia,7,9,9,6,8
Ignorar pedido de desculpas sincero e prolongar o drama só para manter o poder da situação,2,2,2,4,2
Aceitar o pedido de desculpas, abaixar as armas e seguir em frente de alma limpa,8,10,9,8,10
Ler "O Pequeno Príncipe" depois de adulto e chorar entendendo as metáforas que não via na infância,7,10,9,7,9
Rir dos sobrinhos que choram no final dos filmes infantis,3,2,2,4,2
Comer pastel de feira e deixar o caldo escorrer pela mão manchando a camisa branca novinha,4,4,4,5,4
Lamber o caldo do pastel escorrendo porque o que importa é a alegria de um pastel de queijo em um domingo de sol,6,8,7,6,8
Limpar o teclado do escritório com cotonete para tirar sujeiras antigas e se orgulhar do trabalho manual,5,7,6,6,6
Derrubar restos de bolacha no teclado do colega de propósito porque não gosta dele (Maldade pura),1,1,1,3,1
Comer salada de frutas no café da manhã para dar um "up" na energia natural,8,8,6,7,7
Tomar um copão de refrigerante logo após acordar e sentir o estômago doer o dia todo,2,3,3,4,2
Ouvir áudio motivacional duvidoso e repetir frases feitas no elevador como se fosse um sábio,4,4,4,5,4
Ler autores estoicos clássicos e aplicar os princípios na vida prática, sem alarde,7,10,9,8,10
Deixar o tênis de corrida fedendo no carro a semana toda e quase matar a carona asfixiada,2,2,3,4,2
Colocar os tênis para secar ao sol e usar talco para evitar o chulé respeitando o nariz alheio,6,7,6,6,7
Arrumar desculpa para não devolver o livro que pegou emprestado na biblioteca da escola (Apropriação indébita),2,2,3,4,2
Renovar o empréstimo do livro e, ao terminar de ler, devolver pontualmente,6,8,8,6,8
Assistir a uma live de meditação no YouTube e dormir de roncar alto em 5 minutos,6,8,6,6,6
Fazer a meditação inteira sentado com postura correta e sentir a ansiedade diminuir,7,9,7,7,8
Dar um soco no travesseiro de raiva do chefe em vez de xingar alguém,6,8,6,6,7
Levar a raiva do chefe para casa e tratar a família mal durante o jantar,2,1,1,3,1
Conversar abertamente com a esposa/marido sobre a frustração no trabalho buscando apoio,7,9,9,7,9
Chamar a atenção do filho porque ele tomou chuva e "vai ficar resfriado" (Preocupação exagerada),4,4,4,5,4
Ir tomar banho de chuva com o filho no quintal para criar uma memória inesquecível,7,9,9,7,9
Postar no LinkedIn um texto de 15 parágrafos sobre resiliência depois de apenas trocar a lâmpada (Exagero),4,3,4,5,4
Escrever um artigo profundo no LinkedIn sobre lições reais de uma grande falha na carreira,7,10,9,8,9
Mandar uma mensagem anônima ameaçadora na internet (Covardia),1,1,1,2,1
Ser assertivo e dizer diretamente a quem precisa ouvir, cara a cara, com respeito,7,10,9,8,10
Gritar no meio do show de stand-up para tentar ser mais engraçado que o comediante (Heckler),2,1,1,4,1
Assistir o show rindo muito e respeitando o tempo e o palco do artista,6,8,8,6,8
Trocar a senha do e-mail porque esqueceu pela centésima vez e usar a mesma do cachorro,4,4,4,5,4
Usar um gerenciador de senhas para parar de gastar energia mental recuperando acessos,6,8,7,7,7
Passar horas montando móveis do IKEA ou Tok&Stok xingando o manual de instruções,4,5,5,5,4
Chamar um amigo, abrir uma cerveja e montar o móvel com ajuda e parceria,7,9,9,6,8
Sair do grupo da família dizendo "Vocês são chatos" (Agressão gratuita),3,2,2,5,2
Arquivar o grupo da família para não se estressar com notificações e só olhar quando quiser,6,9,8,8,8
Passar fita isolante preta no dedo para esconder a câmera do notebook (Medo de espionagem),5,6,5,6,5
Cobrir a webcam com fita adesiva porque tem uma foto com a família e quer se sentir seguro,6,7,6,6,6
Usar calça rasgada "na moda" em casamento elegante e ser visto como desrespeitoso,3,2,2,4,2
Seguir o "dress code" da festa por consideração a quem convidou,6,8,8,6,8
Tomar antibiótico sem prescrição médica porque a garganta arranhou,1,2,2,3,1
Beber chá de gengibre com mel, descansar e procurar o médico se não melhorar,8,9,7,6,8
Jogar comida estragada pela janela do apartamento (Bizarro e incivilizado),1,1,1,3,1
Comprar um vaso, colocar adubo e tentar plantar uma horta de temperos no apartamento,7,9,8,6,8
Gritar e reclamar quando a internet de casa cai,3,2,2,4,2
Ver a queda de internet como um sinal divino para ler um livro físico ou brincar com o cachorro,7,9,8,6,8
Roubar o Wi-Fi da lanchonete da esquina de dentro de casa usando um repetidor de sinal (Ilegal e sorrateiro),3,2,2,4,2
Pedir as sobras do prato do amigo na lanchonete porque ele "não aguentou comer",6,7,7,6,7
Fazer piada sobre o namorado que é calvo na frente de todo mundo, achando que ele não liga,2,1,1,4,1
Elogiar como o parceiro envelheceu bem de forma amorosa,7,9,9,6,9
Cuspir o caroço da melancia longe para ver se acerta a lixeira,5,6,5,5,5
Apertar botões no painel do carro do amigo só para saber para que serve,4,4,4,5,4
Ouvir rádio na frequência estática tentando dormir com ruído branco,6,8,6,6,7
Ignorar placa de "Piso Molhado" e escorregar espetacularmente na praça de alimentação,3,3,4,5,3
Limpar poça que fez no piso para não machucar ninguém com educação,7,8,8,6,8
Cozinhar um banquete vegetariano maravilhoso para os amigos e surpreender os céticos,8,9,9,7,9
Recusar comer brócolis porque "parece árvore pequena",3,3,3,4,3
Doar as sobras daquele banquete da semana passada para quem não tem o que comer,2,1,2,3,2 (Perigo de intoxicar quem receber a sobra velha)
Levar as sobras seguras do banquete fresco e dividir com a galera sem pena,7,9,9,6,9
Mentir para as crianças que o carro é movido a suco de maçã só pela piada,5,6,6,6,5
Passar manteiga na bolacha água e sal e molhar no café (Clássico),7,8,7,6,7
Acumular 5.000 mensagens de e-mail não lidas no celular e não sentir um pingo de ansiedade,5,5,5,5,5
Sentar na frente do computador na segunda-feira e esvaziar a caixa de entrada para começar a semana focado,7,9,8,7,8
Responder: "ok" a uma mensagem apaixonada de 10 linhas,2,2,2,4,2
Responder de forma proporcional ao amor e dedicação demonstrados na mensagem,7,10,9,7,9
Desmarcar entrevista de emprego na hora H porque estava com medo de falhar,2,1,2,4,2
Respirar fundo, gaguejar se for o caso, mas participar da entrevista e fazer o melhor,7,10,8,7,9
Levar a TV para arrumar, achar caro, trazer de volta e passar a ler livros na sala,7,10,8,8,9
Morder a tampa de isopor do lanche achando que era pão (Momento de pura distração),4,4,4,5,4
Passar pasta de dente no CD arranhado para tentar fazê-lo rodar de novo no rádio (Mito dos anos 2000),5,6,5,6,5
Achar que todas as músicas de funk e rap são cultura inútil e brigar por isso (Preconceito de gosto),3,2,2,4,2
Tentar entender o contexto social de qualquer manifestação musical e artística com empatia,7,9,8,7,9
Tomar 3 xícaras de café logo antes de dormir e virar a noite com taquicardia,1,2,3,4,1
Recusar um jantar com os amigos para poder jogar video game a noite inteira sozinho e feliz,6,7,6,8,7
Ir ao supermercado apenas para usar o banheiro e não comprar nada (Necessidade pura),5,6,6,6,5
Comprar pão só para disfarçar que usou o banheiro do supermercado (Culpabilidade burguesa),5,6,5,6,5
Chutar a roda do carro quando o pneu fura no meio da estrada de raiva,4,4,4,5,4
Trocar o pneu sozinho com tranquilidade, orgulhoso da própria independência,7,8,8,7,8
Fingir dormir no táxi para não ter que conversar com o motorista,4,4,4,5,4
Conversar com o taxista e descobrir uma história fascinante de vida,6,9,8,6,8
Usar as meias da esposa porque as suas estão sujas e não lavar nenhuma,3,3,3,4,3
Lavar as meias no tanque durante o banho e colocar para secar atrás da geladeira,5,6,6,6,6
Encher o carrinho online e desistir da compra ao ver o preço do frete (Prudência digital),6,8,7,8,7
Comprar um produto caríssimo para compensar um dia ruim de trabalho e se arrepender,3,3,3,4,3
Usar o dia ruim de trabalho como motivo para uma caminhada revigorante no parque de graça,8,9,8,8,9
Mandar mensagem passivo-agressiva para o grupo do condomínio sobre a porta batendo,3,2,2,4,2
Colocar um feltro anti-impacto na própria porta e sugerir educadamente que outros façam o mesmo,6,8,8,6,8
Tirar fotos do prato no restaurante e a comida esfriar enquanto tenta o ângulo perfeito,4,4,4,5,4
Caminhar no shopping lentamente parando em frente de cada vitrine bloqueando o caminho,3,3,3,4,3
Dar espaço para os outros passarem enquanto observa as vitrines do shopping,6,8,8,6,8
Zombar do estagiário porque ele não sabe usar o fax ou a máquina de xerox antiga,2,2,2,4,2
Ensinar o estagiário a usar a máquina e dar boas-vindas com paciência,7,9,9,6,9
Roubar papel higiênico da empresa para levar para casa (Micro-corrupção),1,1,1,3,1
Deixar uma caixa de lenços na mesa para qualquer colega usar livremente,6,8,8,6,8
Tentar consertar a tomada elétrica sem desligar o disjuntor e tomar um choque,1,1,2,4,1
Cantar no chuveiro imaginando que está no The Voice e ganhando o prêmio,7,9,8,7,8
Dormir na cadeira do dentista enquanto ele faz a limpeza de tártaro (Paz interior),6,8,7,6,7
Gritar e espernear na cadeira do dentista por puro medo irracional (sem dor),3,2,3,4,3
Entender o próprio medo de agulha e avisar o enfermeiro para ele ter cuidado,6,9,8,7,8
Recusar-se a tomar vacina por acreditar em vídeos conspiratórios do WhatsApp,1,1,2,4,1
Tomar todas as vacinas para proteger a si e à comunidade de doenças erradicadas,8,9,9,7,9
Limpar a lente da câmera do celular antes de tirar foto garantindo a qualidade da lembrança,6,7,6,6,6
Andar com a tela do celular trincada até cortar o dedo no vidro (Negligência perigosa),2,2,3,4,2
